question,answer
"How do I merge NGX NASD accounts on Infoware?","To merge NGX NASD accounts on Infoware, start by merging the Portfolio Holdings: Navigate to Stock Brokerage >> Merge/Rename Portfolio, select the source (B) and target (A) portfolios, and click Save. Next, merge account balances and margins by going to Financials >> New Account/Account Setup >> Merge/Rename, choose the source (B) and target (A) accounts, and click Save. After merging, confirm the process by checking the Portfolio Holding and Margin/Account Info for both Customer IDs. Then, delete the CSCS records for Customer ID B by going to Maintain >> Customers, input the Customer ID, select CSCS Stock #, and delete the records before saving. Finally, set Customer ID B to Dormant by navigating to Financials >> Account Dormancy, selecting the account ID with the radio button, setting the Dormant Status to Dormant, and entering the reasons as 'Duplicate' and the comment as 'Duplicate of A' before clicking Save."
"What are the steps to create an agent on Infoware?","To create an agent on Infoware, first go to the Maintain module by navigating to Maintain >> Customer. Create the agent and grant Agency Involvement. Next, assign the agent in the Stock Brokerage module by going to Stock Brokerage >> Trade/OMS >> Agency, selecting the agent from the drop-down menu, filling in the necessary details, and saving. To add a customer to the agent, go back to Stock Brokerage >> Trade/OMS >> Agency, select the agent from the drop-down menu, click on 'New,' enter the customer information, and save."
"Detail the process of adding a new bank to the list of banks in the Maintain Module.","To add a new bank, first go to Administration >> Parameter Updater >> Global Parameter >> BANKNAMES. Click on 'New' and add the bank. Next, go to Financials >> Fin year start Menu >> Custom Table Editor >> CSCS Bank Sort code listing. Click on 'New,' add the details, link the bank with its CSCS bank code, and save."
"Detail the process followed during the session to update a certificate deposit that lacked a purchase price.","The certificate deposit was updated by navigating to Stockbrokerage >> Trade/OMS >> Cert in hand. The custaid was searched, and the deposit without a purchase price was deleted. A new entry was then created by selecting the stock code, inputting the unit and purchase price, and saving the changes."
"Outline the steps to address the issue with the GL aggregation process when the window task scheduler fails.","It was discussed that the window task scheduler triggers the GL aggregation. When the scheduler fails, the aggregation process does not run, resulting in the reported issue. It was also noted that if the aggregation hasn't run, a manual run can be initiated. To do this, one should navigate to Financials >> Aggregation >> Daily Run, select the trade date as the effective date, and click on run to manually start the aggregation process."
"Illustrate the steps to correct the certificate deposit issue when the purchase price is missing.","It was noted that the certificate deposit issue was addressed by following these steps: Navigate to Stockbrokerage >> Trade/OMS >> Cert in hand, search for the customer ID, delete the deposit that lacks a purchase price, then click on the new button. Select the stock code, input the unit and purchase price, and save the changes."
"What steps should be followed if a customer reports not receiving a contract note via email after a trade execution?","The customer was guided to retry sending the Contract Note, as it might have landed in an unintended folder. The user was instructed to go to the Stockbrokerage Module, access the Contract Notes Menu, select 'Single Customer' in the SEND TO SECTION, input the Customer ID, set the Start and End Dates, uncheck the 'Aggregate' box, and click 'SEND.' Then, they should verify in the Global Inbox to confirm successful delivery."
"Can you outline the steps for obtaining customer positions and reconciling them using the CSCS Reconciliation form?","The process for obtaining customer positions and reconciling them using the CSCS Reconciliation form involves several key steps. First, the client receives their positions in a CSV format, which needs to be prepared by removing the first three rows and rearranging the columns as 'normal quantity,' 'pending,' and 'available balance.' The spool date should be formatted to 'yyyymmdd' before saving. The prepared file is then uploaded to the CSCS Reconciliation form, ensuring that the value date matches the spool date. After exporting and importing the data, the extracted file is modified, specifically naming the sheet 'Portfolio' and adjusting any bond purchase prices. Finally, the modified file is uploaded to the Portfolio Balances section, and the exception file generated is shared with the customer."
"What steps were recommended to address the control account issue related to specific trades?","It was recommended to perform a bulk reversal of trades, including purchases, sales, and settlements. This can be done by navigating to Stockbrokerage >> Reversal >> Bulk reversal, selecting the relevant date, and reversing the transactions. After completing the reversal, the trade log should be re-uploaded via Stockbrokerage >> Trade/OMS >> Trade upload to resolve the issue."
"Can you outline the steps for configuring ETF Reclassification to distinguish ETFs from Equities?","The steps to configure ETF Reclassification are as follows: First, configure the ETF Asset class by navigating to Administration >> Parameter Updater >> Global Parameter >> STKACLASS. Next, set up the ETF Asset class commission under Administration >> Parameter Updater >> Global Parameter >> STKGCACLAS. Clone the Default equities group by going to Stock Brokerage >> Trade/OMS >> Fee setup, then rename the cloned group to ETF in Stock Brokerage >> Trade/OMS >> Fee setup. Configure the settlement account to align with the Equities Configuration via Stock Brokerage >> Trade/OMS >> Fee setup. Finally, create the Stock Code by visiting Stock Brokerage >> Quoted Securities, creating the stock codes individually, saving each, and closing the form to ensure the symbol is correctly saved."
"How can the i-account dormant days be adjusted to 30?","To update the i-account dormant days to 30, go to BI AND DASHBOARD >> Schedule notification >> Result Cmd. Call up the dormant i-account notification and update the created date to 30 days in the script."
"Can you outline the steps taken to complete the CSCS Reconciliation process?","The CSCS Reconciliation was completed by following these steps: 1. Upload the position via Stock Brokerage >> Trade/OMS >> CSCS Reconciliation and generate the differential file. 2. Upload the differential file through Administration >> Data Import >> Portfolio Balances. 3. Generate the Exception file."
"How can I correct stock entries that were initially recorded at zero price but later taken out with a price?","To correct erroneous stock entries where stocks were initially brought in at zero price and then taken out with a price, follow these steps: Access the Stockbrokerage Module and navigate to the 'Trade/OMS Name' Menu. Locate and select the 'Cert. In Hand Form.' Enter the Customer ID or use the search function by clicking on the three-dotted button. Find the relevant stock and make the necessary amendments by including a price to the first entry and deleting the second entry. Finally, save the changes to update the information."
"How was the customer's portfolio merged and the trade order issue resolved?","To resolve the issue, the customer's portfolio was first merged by copying the customer ID from the maintain module and then accessing the Stock Brokerage Module. In the Merge/Rename Portfolio Menu, the Customer ID was entered in both the 'Merge From' and 'Merge To' fields, and the Merge CSCS option was selected and saved. To confirm the update, a trade was initiated on the customer's account by entering the customer ID in the Jobbing Book Unapproved section, filling in the order details, and saving the trade. The trade order was then approved in the Jobbing Book Approval section by selecting and saving the trade. After confirming the resolution of the issue, the trade order placed for testing was cancelled through the Jobbing Book Edit Approval by finding the trade, marking it as cancelled, and saving the changes. Finally, the cancellation was confirmed by checking that the trade no longer appeared in the Pending Trades section."
"Explain the steps to import data from Portfolio Balances.","The process for importing data from Portfolio Balances was described. To import the data, navigate to Administration, then Data Import, and select Portfolio Balances. Follow the prompts to upload and import the data as required."
"Can you describe the steps for merging portfolios, GL accounts, updating CSCS records, and setting an old account to dormant?","To merge both portfolios, first access the Stockbrokerage Module and navigate to the Merge/Rename Portfolio Menu. Specify the accounts to be merged and retained, select the CSCS Account where the portfolio will be merged, and click SAVE. For merging GL accounts, go to the Financials Module, select the New Account Setup Menu, choose Merge/Rename, pick the accounts to be merged, and click SAVE. To update CSCS records, open the Maintain Module, go to Customers, enter the Customer ID for the source account, copy the CSCS records, delete the old records, and save. Then enter the new Customer ID, update the CSCS records, save, and close the dialog boxes. Finally, to set an old account to dormant, access the Financials Module, navigate to the New Account Setup Menu, select Account Dormancy, search for the account, choose a Dormant Status and Reason, add a Comment, and click SAVE."
"What steps should be followed to complete the End of Period process?","To complete the End of Period process, navigate to the Financials Module and select 'End of Period.' Click on 'Financial Year End Run,' input the Current Year, Branch, and Post Date. Click on 'Extract P&L' and choose the appropriate GL based on whether the extracted figure is a profit or loss. Finally, click 'Post' to finalize the procedure."
"What actions were taken to resolve the issue with email notifications not being sent?","The customer was first advised to check if the Posting Window needed extending, which they confirmed had been done. They were then instructed to retry the trade upload and provide the time of the upload for log review. After doing so, the customer reported that the application log file was not received in the support mail. A test email was initiated from the application and successfully sent but not received. The Global Inbox was checked and it was found that alerts were failing to send, showing 'FAILURE SENDING MAILS.' Testing with the IW Email Tester revealed that Office365 had blocked the email server. The customer was informed and asked to provide the Office 365 password for further testing, but they reported that the account had been removed. It was clarified to the customer that an email server is required for sending alerts and accessing log files for further investigation."
"What are the steps to perform M2M revaluation in the Stockbroking module?","To perform M2M revaluation: 1. Go to Stockbroking >> Prop Account >> M2M Revaluation. 2. Select the desired date and customer number. 3. Click on 'Extract P&L.' 4. Click on 'Post/Revalue' to complete the process."
"A customer wants to book a Commercial Paper on the system. What steps should they follow?","['Step 1:', '1. Launch the application and go to asset management.', '2. Navigate to Treasury Bill Placement.', ""3. Click on 'New Bills,' enter the details for the commercial paper, and ensure the selected Tbill category is 'Commercial Paper.'"", '4. Save and close.', '', 'Step 2:', '1. Click on Tbill Purchase.', ""2. Choose the T-bill name you just created in 'Tbill Name.'"", ""3. Enter the commercial paper details and click on 'Buy.'"", '', 'Step 3:', '1. Select the instrument type in the Treasury Bill account details and provide some comments.', '2. Double-check the commercial paper in the deposit details.', '3. Save.', '', 'Step 4:', ""1. Navigate to the 'Review Transactions' menu."", ""2. Retrieve the saved Commercial Paper and click on 'Review.'"", ""3. Finally, go to the 'Approve' menu, call up the commercial paper, and save.""]"
"What should be done if equities attached were sold and purchased but corresponding entries cannot be found on our cash GL?","The transactions were not showing because they were uploaded against the wrong branch code. To resolve this, always change the CSCS settlement branch code to the correct branch code before uploading trades. This can be done via Administration > Parameters > Global Parameters > CSCS Settlement Branch Code."
"We are posting journal transactions, but they are not reflecting in the General Ledger spool on both the web and desktop versions. How do we resolve this?","['The transactions are not reflecting because the batch has not yet been posted to the General Ledger (GL). To resolve this, follow these steps:', '1. Open the InfoWARE Application.', '2. Navigate to the Financial Module.', '3. Click on the GL Menu and select GL Journal Entries.', '4. Open the GL Journal Entries.', ""5. Set the 'Type' to 'UnPosted.'"", '6. Input the GL batch number you wish to post.', '7. Post the batch to update the General Ledger.']"
"A bond transaction was attempted, but an error message was encountered when trying to process the bond out. GL impact was turned off as advised. How can this be resolved?","The reported transaction number is no longer in the database, indicating it has been reversed. For future bookings, ensure that all required GL accounts are saved with the transaction, as the error occurred due to a missing account in the configuration for the specified instrument type. Follow these steps to reconfigure the instrument type:"
"Assistance is needed in downloading a report for active customers with GL activity.","['To download the report for active customers with GL activity, follow these steps:', 'Start the InfoWARE application.', ""Go to the Report Module and select the 'Business Intelligence Reports' menu."", ""Navigate to the Investment Fund section and click on the 'Customer with GL Activity' report."", 'Fill in the date and select your preferred instrument type.', 'Finally, launch the report.']"
"I've completed closing a period, but I can't post the P & L afterward. What should I do?","['To resolve this issue, please follow these steps:', 'Click on Administration.', 'Click on Compare GL Balances.', 'Click on Run.', 'Click on Regenerate GL Balances.']"
"Provide the process for resolving errors encountered during Bond Bulk Liquidation and New Bond Import, even when using the correct format from the system.","['Navigate to assetMgmt.', 'Go to Bond INv.', 'Select Bond Transfer out.']"
"Provide the procedure for pre-liquidating a bond in the system.","['Step 1:', '1. Open InfoWARE.', '2. Go to the Asset Management Module.', '3. Select the Bond Placement menu.', '4. Choose the Breakage submenu.', '5. Locate your transactions and select the desired breakage date for the pre-liquidation.', '6. Save the form and close it.', 'Step 2:', '1. Go to the Asset Management Module.', '2. Select the Bond Placement menu.', '3. Choose the Breakage Approval submenu.', '4. Retrieve the breakage transaction and approve it.', '5. Save the form and close it.', 'Step 3:', '1. Go to the Asset Management Module.', '2. Select the Bond Placement menu.', '3. Choose the Liquidation option.', '4. Retrieve the bond placement details and proceed with the liquidation.']"
"Provide the steps to access the Customer Details report, including custom fields and attributes.","['1. Go to Report > Report Writer > Expand Customers > Customer Details Including Custom Fields/Attribute.', '2. Navigate to Report > Report IDIA Business Intelligence > Customers > Customer Details Including Custom Fields/Attribute.']"
"Outline the steps for deploying the latest build of the Client Portal.","['Download the latest build from the FTP to the application server.', ""Extract the downloaded build and copy all files except the 'App.config' file from the extracted build to the existing application folder, replacing all files."", 'Recycle the application pool.']"
"I want to update the NASD price for each stock. Can you provide the detailed steps to follow?","['Go to the NASD website to get the price for each stock.', 'Go to the Stock Brokerage Module on InfoWARE.', 'Click on the Stock Quotes Menu.', 'Select the Stock Quote date.', 'Update each stock with the price obtained from NASD and save.']"
"Clients are unable to log in, although I was able to successfully sign in. What steps should clients follow to troubleshoot login issues?","['Use a different browser from the one currently being used.', 'Check their internet connection to ensure it is stable. Switch to mobile data if there is a downtime on the internet or Wi-Fi connection.', 'Clear cookies from their browser.', 'Clear their browsing data.']"
"We're facing an issue logging in to the Cosec Online trading portal and need assistance.","['It appears that the API might be down, or a Firewall is blocking the connection.', 'Please restart your IIS and review your Firewall settings.']"
"Outline the steps to deploy the latest build of IDIA ERP.","Download the latest build from the FTP to the application server. Extract the downloaded latest build and copy all files except 'InfoWareERM.Server.dll' and the wwwroot folder from the extracted build over the existing application folder and replace all files. From the extracted folder, open the wwwroot folder and copy all files except App.config, then paste them inside the wwwroot folder of the existing application folder. Recycle the application pool."
"A customer wants to manage attributes in the Administration module. What steps should they follow?","Navigate to Administration >> Attributes >> Create and create the attribute. Go to Administration >> Attributes >> Configure, select 'allCustomers,' and add the attribute created. Navigate to Administration >> Attributes >> Att. Tab Creation to create the attribute tab. Go to Administration >> Attributes >> Att. Tab Assignment and assign the attribute created to the attribute tab."
"How can I set up Two-Factor Authentication (2FA) on the IWDIA app?","To set up Two-Factor Authentication (2FA) on the IWDIA app, follow these steps: 1. Login to https://idia.infowarelimited.com/IDIAERP/DeepTrust/IWIDIA/ using your current App log-in credentials. 2. For first-time log-on, you will need to register for 2FA to link your mobile device with your InfoWARE Profile. 3. Click on 'Register Device. 4. A One Time PIN (OTP) will be sent to your email. 5. Enter the PIN in the field named 'Retrieval PIN' and click outside the box. 6. The App will then load a QR Code for scanning. 7. Launch either your 'Microsoft Authenticator' or 'Google Authenticator' app to scan the QR Code. 8. Your device camera will capture the QR Code and automatically set up your Application Profile on the Authenticator App. 9. Click on your Application Profile on the Authenticator App to view the randomly generated code. 10. Enter the code generated in the field below the scan code to complete the registration process. 11. You can now use the code from the Authenticator to log in to the App going forward."
"I need to deploy the latest version of IDIA ERP on the application server. What are the steps to follow?","To deploy IDIA ERP, follow these steps: Download the latest build from the FTP to the application server. Extract the downloaded build and copy all files except 'InfoWareERM.Server.dll' and the wwwroot folder from the extracted build over the existing application folder, replacing all files. From the extracted folder, open the wwwroot folder, copy all files except App.config, and paste them inside the wwwroot folder of the existing application folder. Recycle the application pool."
"How can I deploy the latest API build to the application server?","To deploy the latest API version, follow these steps: Download the latest build from the FTP to the application server. Extract the downloaded build and copy all files except 'App.config' from the extracted build over to the existing application folder, replacing all files. Recycle the application pool."
"The SAM cannot find the alert template. What script should I use to identify the report from the backend?","To identify the alert template from the backend, use the following script: SELECT * FROM WF_SchAlert WHERE EmailSubject LIKE '%Trade Revaluation Notification Due to Higher Estimated Value% SELECT * FROM WF_AlertsCust WHERE EmailSubject LIKE '%Trade Revaluation Notification Due to Higher Estimated Value%'"
"Regarding the highlighted fee ledger, how can I create and update the fee group?","Go to the Stockbrokerage module. Select Fee Setup. Click on Fee Group. Edit the information with the updated NASD Fee on the Fee Account."
"Outline the steps required to set up trading fees.","Press Ctrl + P to activate the Popular Activities menu on the right side of the IWGIERP screen. Navigate to Stock Brokerage-Fee Creation. Create a new fee group or clone an existing one for assignment to a specific portfolio. If cloning, make sure to rename the request. Choose the fee to configure. Specify the transaction type and its application. Select the fee account. Enter the fee rate/amount. Input the per mil value. Save the configuration. Note that for each new fee, use the 'New' button."
"Detail the steps required to configure a settlement account.","Use Ctrl + P or go to the Stock Brokerage Module on IDIA. Select Custodian – Settlement Account config form. Choose the asset class and settlement category. Search for the customer, ensuring the portfolio has a CSCS Number mapped in the maintain module. Choose the necessary GLs for Bank, Receivables, and Payables. Select the ledger type. Save the configuration."
"List the steps required to configure a trade revaluation account.","Use Ctrl + P or go to the Trading Accounts Menu in the Stock Brokerage Module and select Configure. Click on Trading Accounts – Setup. Select the customer ID (Owner ID as well). Input the necessary accounts impacted by valuation to track price changes and portfolio valuation. Select the start date. The computing method is set to WAC by default. Click on Save."
"Outline how to update a stock name in the application and confirm its classification after the update.","Launch the InfoWare application and navigate to the Administration module. Click on the 'Change STK' menu. Enter the old stock name and input the new stock name. Save the changes. To confirm the classification: Navigate to the Stock Brokerage module and click on the 'Quoted Securities' menu. In the symbol form, input the new stock name. Proceed to the 'Classification' submenu. Confirm and select the asset class as 'EQUITIES. Save the changes."
"How can I download an investment report that includes accrued interest for a specific period?","To download the investment report with accrued interest, follow these steps: Start the InfoWARE application. Go to the Report Module and select the 'Business Intelligence Reports' menu. Navigate to the investment fund section and click on the 'Approve InvestmentFund Accrued Interest within Period' report. Fill in the date range and select your preferred instrument type. Finally, launch the report."
"A client has changed their email address. How should I update it to the new one?","To update the client's email address, follow these steps: Go to the Maintain Module. Click on the Customers Menu. Call up the customer and replace or remove the old email address. Enter the new email address and save the changes."
"To address the issue of unreconciled trades, the following parameter was adjusted: ","Go to Administration. Click on Parameters. Select Equities Trading. Find the parameter 'Abort if WAC invalid due to short sale. Disable the parameter. Complete the necessary process to resolve the unreconciled trades. Re-enable the parameter."
"How can I reset a user's password from the backoffice?","Navigate to the Security section. Select the option to reset a password. Locate and select the user. Change the password as needed. Save the changes."
"What steps can be taken to resolve the issue of reflected transactions in the Client Valuations after executing Bond Transfer Out Operations?","Navigate to the Report Module on the Main Application, Access the BusinessIntelligenceReports Menu, Choose the Cardinal Stone Report Category, Launch the Client Valuation report CAM, input the relevant report parameters, and generate the report, Verify that the transactions related to transfers out are no longer visible on the Client report, Check the affected Client CustID numbers: 2511, 0488, and 0471."
"When a customer wants to generate the Customer Audit Report, what steps should they follow?","Check Report, Navigate to BI, Select Audit, Choose Customer Audit Report."
"How can a build update be performed and a key be added?","Login to the IMDT Tool, Toggle to Launch Deployment, For the Ebiz Server, search and select deployment using the client name, On Select File from FTP, choose the latest build, input a remark, and click Deploy, Repeat the above steps for the IDIA Server, Toggle to Schema Deployment, Search and select deployment using the client name, On Select File from FTP, choose the latest build, input a remark, and click Deploy, Click on Deployment Config, Toggle the Server type to IDIA Server and locate the client environment, Click on Edit and paste the add key in the required space after pasting the URL suffix of the client environment."
"Outline the steps to deploy the latest build of the API.","Download the latest build from the FTP to the application server, Extract the downloaded latest build and copy all files except the App.config file from the extracted build over to the existing application folder and replace all files, Recycle the application pool."
"Outline the steps to deploy the latest build of the desktop application.","Download the latest build from the FTP to the application server, Extract the copied latest build and copy the IWGI.exe file and the Setup folder from the extracted build over the existing application folder, Update the App.config and perform the schema update."
"A customer wants to partially liquidate a loan. What steps should they follow?","Open the application, Go to the loan section and select the loan Partial Liquidation submenu, Locate the loan using the find button and proceed with the partial liquidation."
"What should be done to address the slow performance of Infoware?","The APT application app pool was restarted to resolve the issue, , Steps:, 1. Log in to the Ebiz server and launch the IIS Application, 2. On the IIS application, locate and click on Application Pools, 3. Locate and select the APT application pool, then click on Recycle on the right side."
"Detail the steps to access the Manual GL and Cash Posting Audit Callover Report, which was saved before posting.","Go to the Report Module, Click on BI, Scroll to APTSecurities, Launch the Manual GL and Cash Posting Audit Callover Report."
"For setting an account to dormant, follow these steps:","Navigate to Financial, Go to New Account, Select Acct Dormancy, Choose the account and set it to dormant."
"I am unable to log in due to server credentials issues. What actions can be taken?","Reset the server credentials by inputting a new password, Created a control panel for the admin to carry out password resets in-house."
"I want to update a customers address. What steps should I follow?","Click on Maintain Module, Call up 000 as the customer AID, Change the address to the correct address, Click Save."
"We created a sub-account for a master account, but it’s not appearing under the master account. How can this be resolved?","To ensure the sub-account appears under the master account, follow these steps:, Go to the Stock Brokerage Module, Click on the New Account Menu, Click on Configuration, select the Master account, input the details of the sub-account, and save, Click on the Cash Menu, Click on Receipt Params, Select the appropriate Customers account and the newly created sub-account, then save."
"Describe the process to disable the reroute of email through InfoWARE.","To disable the reroute of email through InfoWARE, follow these steps:, Go to the Administration Module, Click on Parameter, Click on Email processing, Click on reroute all email sending through InfoWARE Cloud Email Service, Change it to No and save."
"Describe the process to rename a Master Account.","To rename a Master Account, follow these steps:, Go to the Financials Module, Click on New Account, Click on Account Setup, Input the Account ID in the Account field and tab out; the account information will be populated in each field, Change the Description from the old one to the new one and click Save, It will ask if you want to overwrite; click Ok."
"When a customer or a client wants to rename a Sub Account, how should they proceed?","To rename a Sub Account, follow these steps:, Go to the Financials Module, Click on New Account, Click on Configuration, do a find for the Master Account and select it, Select the Sub Account to be renamed in the Sub Account list, then rename it and click on Save."
"If a customer needs to view the latest email and send a new password for reset, what steps should be followed?","To view the latest email and send a new password for reset, follow these steps:, Click on the BI & Dashboard menu, Go to Global Inbox > Refresh > Click on the Received Tab to show the latest email sent/received for your company, Double-click on the needed subject to see the new password that you can send to the customer to reset it on the Ebiz portal and create a new password for themselves."
"To reset a SysAdmin password, what is the process a customer should follow?","Click on the control panel for the AppServer where Equity Capital is residing, Click on the tab Other Applications, Locate the form InfoWare Administrators, Click on Reset Password and find the needed name, Reset the password by inputting the desired password, Click on Save."
"Outline the process for resetting an E biz password and notifying the relevant parties.","Click on Security, Select the option to reset the E biz password, Search for the user by name or identifier, Initiate the reset and instruct the user to check their email for the new password, Log in to the E biz portal to verify the new password, Inform the appropriate personnel about the completed reset and ask them to notify the user."
"Summarize the process to compare GL and balances, including the actions for running and regenerating GL balances.","Navigate to the Compare GL and Balances section within the Administration Module., ""Click on the Run button."", ""Select Regenerate GL Balances to complete the task."""
"When a customer wants to configure a settlement account in the Stock Brokerage module, what steps should they follow?","Go to the Stock Brokerage module. Select the Trade/OMS menu. Select Settlement Account. Click on New. Select the Asset Class. Select the Settlement Category. Select the respective accounts. Select the Ledger Type. Choose the settlement days for customers/bank. Save the configuration."
"To record a certificate in hand, follow these steps:","Navigate to Stock Brokerage >> Trade/OMS >> Cert. in hand. Call up the customer. Click on New. Call up the stock. Input the unit and price. Save the record."
"I need to configure the Rate Limit on OTP Bypass but I dont know how to start. What steps should I follow?","To configure the Rate Limit on OTP Bypass, follow these steps: 1. Navigate to the Administration module. 2. Go to Parameters., ""3. Under EBusiness, find EBiz - OTP Account lockout threshold."", 4. Read the explanation provided and set the desired value (refer to the attachment)."
"The system is currently charging a 1.35% commission rate instead of the required 0.10% on NASD transactions for the client. How can I urgently update the rate to 0.10%?","To update the commission rate, follow these steps: 1. Go to the Stockbrokerage module. 2. Click on the Commission menu. 3. Click on the Grad Commission Menu. 4. Click on Add Group, create the group, and save. 5. Select the item in the list, fill in the necessary information, and then save. 6. Go back to the Stockbrokerage module. 7. Click on the Commission menu. 8. Click on Commission Group. 9. Select the commission group and add the client. 10. Save the changes."
"How can I edit and change an equity name in InfoWARE?","If the stock is new and has not been traded on, follow these steps: 1. Launch IDIA ERP. 2. Click on the Stock Brokerage Module. 3. Click on Services. 4. Click on Quoted Securities/Equities/Bonds. 5. Input or search for the stock code. 6. Correct the name and save.  If the stock has been traded on, follow these steps: A) Create a new stock code with the correct name: 1. Launch IDIA ERP. 2. Click on the Stock Brokerage Module. 3. Click on Services. 4. Click on Quoted Securities/Equities/Bonds. 5. Input the new stock code, name, and other details. 6. Click on Classifications and select Equities if applicable. 7. Save.  B) Change the stock code across the entire system: 1. Click on Administration. 2. Click on Parameters. 3. Click on Change Stock Code Name. 4. Select the old stock code from the drop-down list. 5. Input the newly created stock code in the New Stock Code field. 6. Save.  C) Deactivate the old name: 1. Launch IDIA ERP. 2. Click on the Stock Brokerage Module. 3. Click on Services. 4. Click on Quoted Securities/Equities/Bonds. 5. Input or search for the old stock code. 6. Check inactive and save."
"I want to delist a stock on Quoted Securities. What steps should I follow?","Go to Stockbrokerage. Select Quoted Securities. Perform a search to locate the stock. Click on Inactive and save."
"Outline the procedure for classifying a stock code.","Go to the Stockbrokerage Module. Click on Quoted Stocks. Call up the stock if it already exists or create the stock code if it does not exist. Click on the Classification tab. Select Equities as the Asset class and save."
"How can I confirm and update the OMS Date Limit Computation on Market Orders to standard?","Go to Administration. Click on Parameters. Click on Equities Trading. Click on OMS: Date Limit Computation on Market Orders. Check the setting to confirm it to standard and save."
"To configure the system to use LClose instead of price for price markup, what steps should be followed?","Go to the Administration module. Click on Parameters. Select Equities Trading., ""Choose OMS: Use LClose instead of price for price markup and check the box."", Save the changes."
"I need to add a new stock to InfoWARE. Can you guide me through the process?","Open the InfoWARE application. Navigate to the Stock Brokerage section., ""Go to the services menu and select Quoted Security."", Accurately enter the Symbol, Name, Registrar, Sector, and Classification., ""Click Save to finalize the addition of the new stock."""
"Outline the process for editing a new customer creation alert.","1. Click on the BI & Dashboard. 2. Click on Alert. 3. Do a find and select New customer creation Alert. 4. Edit and save."
"A customer wants to know the steps to change a stock code.","1. Go to the Administration Module. 2. Click on the Change Stock Name Menu. 3. Select the old stock code from the Stock List drop-down and input the new stock code in the New Stock Name field. 4. Save the changes."
"Outline the steps to create a GL Master Account in the system.","Go to Financials, Click on New Account, Click on Account Setup, Enter the Account parameters, Click Save"
"Detail the steps to create a GL Sub Account in the system.","Go to Financials, Click on New Account, Click on Account Setup, Select the account from the list of accounts in the table, Click Load Sub accounts, Enter the details of the sub account on the new form, Click on Save"
"Describe the steps to raise a General Ledger entry in the system.","To raise a General Ledger entry in the system, follow these steps:, Go to Financials >> GL Menu >> GL Journal Entries, Click on New, Enter Batch Description, Select the value date, Select GL account, Enter amount in the debit or credit for the first transaction leg, Enter Journal description, Click reuse current input for new transaction, Click on Save, Select the other account, Confirm the other entry amount, Click Save"
"Detail the process for reviewing a General Ledger entry in the system.","To complete the review of a General Ledger entry, perform the following steps:, Go to Financials >> GL Menu >> GL Journal Review, ""Click the ... in front of batch#"", Search and select the appropriate batch number, Click OK, Review the batch from the dialog window displayed, Click on Close, ""Click Mark as Reviewed"""
"Describe the process to post a General Ledger entry in the system.","To post a General Ledger entry, follow these steps:, Go to Financials >> GL Menu >> GL Journal Entries, ""Click the ... in front of batch#"", Search and select the appropriate batch number, Click OK, Click on Post; a dialog window will be displayed. Click on Post again to authorize the posting."
"Provide the steps to reverse a posted General Ledger entry in the system.","To reverse a posted General Ledger entry, follow these steps:, Go to Financials >> GL Menu >> GL Journal Entries, ""Within the type box on the left, select Posted from the list"", ""Click the ... in front of batch#"", Search and select the appropriate batch number to be reversed, Click OK, Click on Reverse, Click Yes to confirm reversal"
"Outline the steps to map the appropriate payment account to its respective product master account in the system.","To map the payment account to its respective product master account, follow these steps:, On the Financials module, go to Cash Menu, Go to Receipt Params, Select the Customer Master (Involvement) Account, Select the GL to be mapped to the account, Click on Add, then Save"
"Describe the process for injecting cash into a portfolio cash account and further into the portfolio.","Step A:, - Go to Financials >> Cash Menu >> Cash Receipt, - Select the value date, - Select the portfolio from the customer master list, ""- Click the ... after the customer# field"", - From the dialog window, select the portfolio master account that appeared to the left, - Select the portfolio name that appears thereafter in the right box and click OK, ""- Select the receiving bank account from the paying account information list"", - Input the amount to be credited, - Input payment description, - Save, Step B:, - Go to Financials >> Cash Menu >> Review, - Ensure the transaction value date falls within the start date and end date; if not, adjust the dates, - Select receipt from the payment type, - Review and mark the transaction(s) checkbox(es), ""- Click on Mark as Reviewed button at the bottom right"", Step C:, - Go to Financials >> Cash Menu >> Cash Payment Post, - Ensure the transaction value date falls within the start date and end date; if not, adjust the dates, - Select receipt from the payment type, - Review and mark the transaction(s) checkbox(es), ""- Click on Post button at the bottom right"""
"Explain how to make a cash payment from a portfolio cash account.","The system should allow cash payment from the portfolio cash account following these steps:, Step A:, - Go to Financials >> Cash Menu >> Cash Payment., - Select the value date., - Select the portfolio from the customer master list., ""- Click the ... after the customer# field."", - From the dialog window, select the portfolio master account that appears to the left., - Select the portfolio name that appears thereafter in the right box and click OK., ""- Select the paying bank account from the paying account information list."", - Input the amount to be paid out., - Input payment description., - Save., Step B:, - Go to Financials >> Cash Menu >> Review., - Ensure the transaction value date falls within the start date and end date; if not, adjust the dates., ""- Select receipt from the payment type."", - Review and mark the transaction(s) checkbox(es)., ""- Click on the Mark as Reviewed button at the bottom right."", Step C:, - Go to Financials >> Cash Menu >> Cash Payment Post., - Ensure the transaction value date falls within the start date and end date; if not, adjust the dates., ""- Select receipt from the payment type."", - Review and mark the transaction(s) checkbox(es)., ""- Click on the Post button at the bottom right."""
